   0.000 1767781480.960998091  rpp:cam:cam0,t:480960
   0.000 1767781335.288718091  rpp:cam:cam0,t:335288
   0.000 1767781478.706507091  rpp:cam:cam0,t:478706
   0.000 1767781416.512573091  rpp:cam:cam0,t:416512
   0.000 1767781436.934526091  rpp:cam:cam0,t:436934
   0.000 1767781472.606439091  rpp:cam:cam0,t:472606
   0.000 1767781464.517610091  rpp:cam:cam0,t:464517
   0.000 1767781372.950065091  rpp:cam:cam0,t:372950
   0.000 1767781440.249621091  rpp:cam:cam0,t:440249
   0.000 1767781440.713763091  rpp:cam:cam0,t:440713
   0.000 1767781471.015150091  rpp:cam:cam0,t:471015
   0.000 1767781382.962037091  rpp:cam:cam0,t:382962
   0.000 1767781428.712736091  rpp:cam:cam0,t:428712
   0.000 1767781467.700029091  rpp:cam:cam0,t:467700
   0.000 1767781337.874683091  rpp:cam:cam0,t:337874
   0.000 1767781467.434658091  rpp:cam:cam0,t:467434
   0.000 1767781383.625232091  rpp:cam:cam0,t:383625
   0.000 1767781374.939143091  rpp:cam:cam0,t:374939
   0.000 1767781455.698758091  rpp:cam:cam0,t:455698
   0.000 1767781433.685403091  rpp:cam:cam0,t:433685
   0.000 1767781459.610775091  rpp:cam:cam0,t:459610
   0.000 1767781384.951361091  rpp:cam:cam0,t:384951
   0.000 1767781439.984492091  rpp:cam:cam0,t:439984
   0.000 1767781483.148903091  rpp:cam:cam0,t:483148
   0.000 1767781362.075933091  rpp:cam:cam0,t:362075
   0.000 1767781472.407681091  rpp:cam:cam0,t:472407
   0.000 1767781372.684970091  rpp:cam:cam0,t:372684
   0.000 1767781466.241355091  rpp:cam:cam0,t:466241
   0.000 1767781454.372591091  rpp:cam:cam0,t:454372
   0.000 1767781476.982581091  rpp:cam:cam0,t:476982
   0.000 1767781475.590155091  rpp:cam:cam0,t:475590
   0.000 1767781384.752360091  rpp:cam:cam0,t:384752
   0.000 1767781425.198369091  rpp:cam:cam0,t:425198
   0.000 1767781398.411208091  rpp:cam:cam0,t:398411
   0.000 1767781470.816377091  rpp:cam:cam0,t:470816
   0.000 1767781387.470974091  rpp:cam:cam0,t:387470
   0.000 1767781473.402096091  rpp:cam:cam0,t:473402
   0.000 1767781478.176242091  rpp:cam:cam0,t:478176
   0.000 1767781469.092454091  rpp:cam:cam0,t:469092
   0.000 1767781455.632383091  rpp:cam:cam0,t:455632
   0.000 1767781376.795826091  rpp:cam:cam0,t:376795
   0.000 1767781410.611247091  rpp:cam:cam0,t:410611
   0.000 1767781380.707851091  rpp:cam:cam0,t:380707
