timestamp,robot2_j1_desired_pos,robot2_j1_desired_vel,robot2_j1_actual_pos,robot2_j1_actual_vel,robot2_j1_error_pos,robot2_j1_error_vel,robot2_j2_desired_pos,robot2_j2_desired_vel,robot2_j2_actual_pos,robot2_j2_actual_vel,robot2_j2_error_pos,robot2_j2_error_vel,robot2_j3_desired_pos,robot2_j3_desired_vel,robot2_j3_actual_pos,robot2_j3_actual_vel,robot2_j3_error_pos,robot2_j3_error_vel,robot2_j4_desired_pos,robot2_j4_desired_vel,robot2_j4_actual_pos,robot2_j4_actual_vel,robot2_j4_error_pos,robot2_j4_error_vel,robot2_j5_desired_pos,robot2_j5_desired_vel,robot2_j5_actual_pos,robot2_j5_actual_vel,robot2_j5_error_pos,robot2_j5_error_vel,robot2_j6_desired_pos,robot2_j6_desired_vel,robot2_j6_actual_pos,robot2_j6_actual_vel,robot2_j6_error_pos,robot2_j6_error_vel,
0.914865,-6.26804e-05,2.37384e-05,-6.26551e-05,6.61818e-05,-2.52391e-08,-4.24435e-05,-1.5534,0.0311531,-1.55343,-0.0031456,3.42987e-05,0.0342987,-0.208968,-0.302445,-0.208666,-2.96256e-05,-0.000302416,-0.302416,-1.35789,0.314054,-1.35821,-4.27896e-06,0.000314058,0.314058,0.22115,0.32,0.22083,0.000151485,0.000319849,0.319849,1.22014e-05,-1.77243e-05,1.23621e-05,0.000143247,-1.60705e-07,-0.000160972,
0.960364,-6.22056e-05,2.37384e-05,-6.21796e-05,6.75741e-05,-2.60635e-08,-4.38357e-05,-1.55277,0.0311531,-1.55281,-0.00322337,3.43765e-05,0.0343765,-0.215017,-0.302445,-0.214715,-3.03222e-05,-0.000302415,-0.302415,-1.35161,0.314054,-1.35193,-2.06439e-06,0.000314056,0.314056,0.22755,0.32,0.22723,0.000154327,0.000319846,0.319846,1.18469e-05,-1.77243e-05,1.20073e-05,0.000142945,-1.60396e-07,-0.000160669,
1.0065,-6.17308e-05,2.37384e-05,-6.1704e-05,6.89195e-05,-2.68342e-08,-4.51811e-05,-1.55215,0.0311531,-1.55218,-0.00330101,3.44541e-05,0.0344541,-0.221066,-0.302445,-0.220764,-3.10171e-05,-0.000302414,-0.302414,-1.34533,0.314054,-1.34564,1.46311e-07,0.000314053,0.314053,0.23395,0.32,0.23363,0.000157185,0.000319843,0.319843,1.14924e-05,-1.77243e-05,1.16525e-05,0.000142653,-1.60102e-07,-0.000160377,
1.05202,-6.12561e-05,2.37384e-05,-6.12285e-05,7.02174e-05,-2.75511e-08,-4.64791e-05,-1.55153,0.0311531,-1.55156,-0.0033785,3.45316e-05,0.0345316,-0.227115,-0.302445,-0.226812,-3.17101e-05,-0.000302414,-0.302414,-1.33905,0.314054,-1.33936,2.35282e-06,0.000314051,0.314051,0.24035,0.32,0.24003,0.000160057,0.00031984,0.31984,1.11379e-05,-1.77243e-05,1.12978e-05,0.000142373,-1.59822e-07,-0.000160097,
1.09775,-6.07813e-05,2.37384e-05,-6.07531e-05,7.1469e-05,-2.82147e-08,-4.77306e-05,-1.5509,0.0311531,-1.55094,-0.00345583,3.46089e-05,0.0346089,-0.233164,-0.302445,-0.232861,-3.24015e-05,-0.000302413,-0.302413,-1.33277,0.314054,-1.33308,4.55436e-06,0.000314049,0.314049,0.24675,0.32,0.24643,0.000162943,0.000319837,0.319837,1.07835e-05,-1.77243e-05,1.0943e-05,0.000142103,-1.59557e-07,-0.000159828,
1.14331,-6.03065e-05,2.37384e-05,-6.02777e-05,7.26762e-05,-2.8827e-08,-4.89378e-05,-1.55028,0.0311531,-1.55032,-0.00353303,3.46861e-05,0.0346861,-0.239213,-0.302445,-0.23891,-3.30915e-05,-0.000302412,-0.302412,-1.32649,0.314054,-1.3268,6.75037e-06,0.000314047,0.314047,0.25315,0.32,0.25283,0.000165836,0.000319834,0.319834,1.0429e-05,-1.77243e-05,1.05883e-05,0.000141845,-1.59307e-07,-0.000159569,
1.189,-5.98318e-05,2.37384e-05,-5.98024e-05,7.3835e-05,-2.93843e-08,-5.00967e-05,-1.54966,0.0311531,-1.54969,-0.00361006,3.47632e-05,0.0347632,-0.245262,-0.302445,-0.244959,-3.37798e-05,-0.000302412,-0.302412,-1.32021,0.314054,-1.32052,8.94111e-06,0.000314045,0.314045,0.25955,0.32,0.25923,0.000168743,0.000319831,0.319831,1.00745e-05,-1.77243e-05,1.02336e-05,0.000141598,-1.59073e-07,-0.000159322,
1.23403,-5.9357e-05,2.37384e-05,-5.93271e-05,7.49447e-05,-2.98855e-08,-5.12063e-05,-1.54903,0.0311531,-1.54907,-0.00368694,3.484e-05,0.03484,-0.251311,-0.302445,-0.251008,-3.44663e-05,-0.000302411,-0.302411,-1.31393,0.314054,-1.31424,1.11264e-05,0.000314042,0.314042,0.26595,0.32,0.26563,0.000171662,0.000319828,0.319828,9.72e-06,-1.77243e-05,9.87886e-06,0.000141361,-1.58857e-07,-0.000159086,
1.27967,-5.88822e-05,2.37384e-05,-5.88527e-05,7.61365e-05,-2.9587e-08,-5.23981e-05,-1.54841,0.0311531,-1.54845,-0.00376391,3.4917e-05,0.034917,-0.257359,-0.302445,-0.257057,-3.51577e-05,-0.00030241,-0.30241,-1.30764,0.314054,-1.30796,1.33303e-05,0.00031404,0.31404,0.27235,0.32,0.27203,0.000174552,0.000319825,0.319825,9.36552e-06,-1.77243e-05,9.52404e-06,0.00014108,-1.58524e-07,-0.000158805,
1.32411,-5.84075e-05,2.37384e-05,-5.83402e-05,0.000137129,-6.72996e-08,-0.00011339,-1.54779,0.0311531,-1.54782,-0.00371826,3.48714e-05,0.0348714,-0.263408,-0.302445,-0.263106,-3.47838e-05,-0.000302411,-0.302411,-1.30136,0.314054,-1.30168,1.62737e-05,0.000314037,0.314037,0.27875,0.32,0.27843,0.000180852,0.000319819,0.319819,9.01103e-06,-1.77243e-05,9.16657e-06,0.000139398,-1.55541e-07,-0.000157123,
